@relation 'Garbage Smell'
@attribute In_Temperature numeric
@attribute In_Humidity numeric
@attribute SB-51-00 numeric
@attribute SP-11-00 numeric
@attribute SP-19-01 numeric
@attribute TGS2602-B00 numeric
@attribute TGS2620-C00 numeric
@attribute SP-31-00 numeric
@attribute SP3S-AQ2-01 numeric
@attribute Average {'1','2','3','4','5','6','7','8','9','10'}
@data
25.14740215,52.1622034,0.27229993,0.035303232,0.134168533,3.322097897,0.367564902,0.193592724,0.303996582,5
25.15870654,52.10579589,0.283507206,0.03550325,0.138850212,3.32256669,0.365264691,0.19300517,0.308634506,5
25.14019226,52.11149259,0.294345698,0.035378239,0.143944429,3.321535346,0.363708298,0.192267603,0.313891238,5
25.14268457,52.11668065,0.304571634,0.036003296,0.148338581,3.323691793,0.359839194,0.191617543,0.320535596,5
25.12149996,52.12227563,0.313928741,0.035365738,0.152870246,3.321391582,0.359989208,0.19104249,0.323448363,5
25.13654281,52.03748633,0.323523369,0.03527823,0.156933118,3.320722771,0.358620333,0.190661206,0.326517394,5
25.14731314,51.96907505,0.333230508,0.035115715,0.160945985,3.321091555,0.35662015,0.190117406,0.330917796,5
25.13752193,51.97243203,0.343756472,0.035428244,0.165540156,3.322329168,0.353151082,0.189529852,0.337468396,5
25.12933293,51.90987004,0.352063482,0.03440315,0.169890554,3.31951016,0.355582555,0.189036057,0.338124706,5
25.14847028,51.82884464,0.360351741,0.033790594,0.173734656,3.316922423,0.355495047,0.188767282,0.340068634,5
