@relation 'Sensor Response'
@attribute In_Temperature numeric
@attribute In_Humidity numeric
@attribute Out_Temperature numeric
@attribute Out_Humidity numeric
@attribute TGS2620-C00 numeric
@data
39.88672719,22.57312886,29.13117839,42.08640327,1.348773484
39.85414918,22.6719056,29.20280599,41.85536437,1.349648564
39.84738435,22.72231123,29.19335938,42.10732084,1.351373722
39.8559294,22.78502581,29.22061849,41.96999437,1.352967618
39.90915796,22.79316396,29.25265625,42.23700477,1.356111656
39.93025355,22.84097556,29.18804687,42.1409686,1.35856188
39.87497775,22.95602859,29.11145833,42.13714247,1.359130682
39.8681239,23.02978052,29.26380859,41.76687208,1.360099521
39.93105465,23.00968948,29.34894531,41.42939505,1.362005945
39.990692,23.02108288,29.48788411,41.39959889,1.363724853
40.01463595,23.04173342,29.65496745,40.99786481,1.369787908
39.95455355,23.1404593,29.50603516,40.69359828,1.376557278
40.0256733,23.11350169,29.48360677,40.9351417,1.377619875
39.99095903,23.21360087,29.75348958,40.73954722,1.380176359
40.01561507,23.21502505,29.86192708,40.36545911,1.381851512
39.92242059,23.37046362,30.01661458,39.56813442,1.38510806
40.02416012,23.29716945,30.06632812,39.41281408,1.386539441
39.95099311,23.41512169,30.14580078,39.30257811,1.38947096
40.02834363,23.37488874,30.18552734,39.37144403,1.390721074
39.95072608,23.50616719,30.26576172,39.29455464,1.393015034
40.0199766,23.45784695,30.32690104,39.24818612,1.39439016
39.99167112,23.53571883,30.43245443,39.16385782,1.396809132
40.02460517,23.54441647,30.47272786,39.10018697,1.398484285
40.02816561,23.57946136,30.56799479,38.88240544,1.400221944
40.04356451,23.61282775,30.58424479,38.79383338,1.402134619
40.04392055,23.67706823,30.63700521,38.7049836,1.403209718
40.03154803,23.71628392,30.61007812,39.65783807,1.404909873
40.02691946,23.80671906,30.54928385,41.70098749,1.405816206
40.04329747,23.84089927,30.54860677,41.8698087,1.407553865
40.0215788,23.95229012,30.53369792,41.74528869,1.409547798
40.03252715,23.98148572,30.48384115,41.74312947,1.411241703
39.97493706,24.12497139,30.45009766,41.52067023,1.412941859
40.01383485,24.11739274,30.4303776,41.66097209,1.414710771
39.94814476,24.26581216,30.3704362,41.03445934,1.417085988
40.02602935,24.22654561,30.38870443,40.9704263,1.418754891
39.94707663,24.35685766,30.35708984,40.3924604,1.421111357
40.03448539,24.29185423,30.30718099,40.31530773,1.422280214
39.94307113,24.44388495,30.28490234,40.14168152,1.424386656
40.02140078,24.38381526,30.24739583,40.07664677,1.425699277
39.90604257,24.53879606,30.19615885,39.92889971,1.427736963
40.03902495,24.44439358,30.15851562,39.82213149,1.428518285
39.9111162,24.59983215,30.09747396,39.66435515,1.430374705
40.01855243,24.50481931,30.08292318,39.5571157,1.430643479
39.86981511,24.66478472,30.01815104,39.52755635,1.432324883
40.01944254,24.53808398,29.91554036,39.6992165,1.432499899
39.86331731,24.70817121,29.83878255,39.70364247,1.434081294
40.01864144,24.57333232,29.74711589,39.89893209,1.434100046
39.85227995,24.74408077,29.58263672,40.01799193,1.435193896
40.02264693,24.59342336,29.5639974,40.02135388,1.434606342
39.89509422,24.72734671,29.57153646,39.95294094,1.435612684
40.01472496,24.62958724,29.4191862,40.26821233,1.435156392
39.87515577,24.77709112,29.32477865,40.76963729,1.435762698
40.01614913,24.65791816,29.30180339,40.88706359,1.434831363
39.96425574,24.71513949,29.20742188,41.23944916,1.434712602
39.9979909,24.70201673,29.30198568,41.15142629,1.433918779
39.92865136,24.79092597,29.19745443,41.2559946,1.43370626
39.97796343,24.7477938,29.26022786,41.1666334,1.432818678
39.95936014,24.78426286,29.21270833,41.20558136,1.432637412
39.93354696,24.84041606,29.2105013,41.28031808,1.431893594
39.90684367,24.86640726,29.11266927,41.50409735,1.431443553
39.87907225,24.90170647,29.12192708,41.43561291,1.431231033
39.84569314,24.94931462,29.11096354,41.54553906,1.430843498
39.8055492,25.01248697,29.03352214,41.80596963,1.43043721
39.77973602,25.05597518,28.96690755,42.01535716,1.430193438
39.74119427,25.11014471,28.95044922,42.24401187,1.429893411
39.68404924,25.18649068,28.95283854,42.49679169,1.429293356
39.66001628,25.23277638,28.80341797,42.88533098,1.429312107
39.63001958,25.28216475,28.85740234,42.70611731,1.42912459
39.59806465,25.32316065,28.90310547,42.65511804,1.429068335
39.57056026,25.3707688,28.89353516,42.78417738,1.429099588
39.55320312,25.42432797,28.85723307,42.81906156,1.429255852
39.52970423,25.44579232,28.80821615,42.91197073,1.429387114
39.5181328,25.4836347,28.75274089,43.96020168,1.429468372
39.49792732,25.54426388,28.69087891,44.47377277,1.429837156
39.47629765,25.61999949,28.66332031,46.13007837,1.430449712
39.42155591,25.71587701,28.61977214,47.04851184,1.430937256
39.3280944,25.85626001,28.51559896,47.99735816,1.431224783
39.21131202,26.02828005,28.37926432,48.29855087,1.43054347
39.14793622,26.13783983,28.37429036,47.76765425,1.431112272
39.13324941,26.18804201,28.35490885,47.45835758,1.432318633
39.12256809,26.26148877,28.34102214,47.22193952,1.43338123
39.11526919,26.29917856,28.33039063,47.08242445,1.434481331
39.12657359,26.31179268,28.37977214,46.80770573,1.435493923
39.15256479,26.3198291,28.40233073,46.4035805,1.436669031
39.16217797,26.37145546,28.42875,46.93184514,1.438156667
39.11971974,26.45588871,28.29783854,47.9177722,1.438825478
39.09079118,26.52892856,28.36674479,47.86258488,1.439613051
39.07592635,26.58574299,28.31874349,47.68311675,1.440431875
39.08464942,26.62226291,28.37701823,47.28955416,1.4412507
39.10645711,26.62633199,28.41759115,46.89602104,1.442200787
39.14348567,26.62734925,28.52072917,46.5393174,1.443513408
39.2103329,26.59042242,28.69379557,45.72174165,1.444626009
39.27629002,26.55761552,28.83598958,44.98451708,1.445776115
39.32711528,26.52155337,28.82158203,44.78860893,1.446507432
39.3694845,26.50568399,28.86991536,44.48709502,1.447188744
39.40384273,26.4820325,28.89711589,44.30460627,1.447995068
39.43802294,26.47572544,28.92509115,44.06129523,1.448582622
39.47407238,26.45736375,28.94632813,43.72615239,1.449088918
39.49178556,26.44708934,28.99067708,43.31213226,1.449395196
39.51154599,26.44083314,29.01569661,42.80497094,1.449495205
39.52979324,26.43691666,29.02804688,42.63096392,1.44965147
39.54821851,26.4264388,29.02031901,41.72406973,1.449845237
39.5205361,26.46626485,28.98226563,41.96987365,1.449538959
39.49961852,26.48279545,28.97356771,42.3840713,1.449295187
39.49320974,26.50456499,29.01208984,42.18500677,1.44933269
39.49116248,26.51499199,28.96929688,41.38560389,1.449413948
39.46072073,26.53579512,28.87901693,41.5246417,1.449188927
39.42805371,26.54810407,28.85690755,41.33250681,1.44856387
39.39182625,26.58579385,28.7835612,41.13923895,1.447870056
39.35105923,26.6053254,28.75480469,41.50825618,1.447445018
39.30664276,26.6390987,28.62645182,41.74005664,1.446694949
39.27005926,26.6641235,28.61736979,41.75384956,1.446419924
39.21540653,26.70237278,28.52964844,41.92998055,1.445632352
39.16840874,26.72017497,28.40285807,41.63629739,1.445001044
39.11215381,26.74082551,28.40748698,41.87210871,1.444113463
39.06275273,26.7768368,28.31771484,41.90674343,1.443038364
39.02501208,26.79926757,28.27901042,41.64880848,1.442144532
38.99323517,26.81528954,28.2226237,41.6458476,1.441625735
38.94160881,26.84311182,28.13644531,41.47200648,1.440838163
38.85918466,26.88395514,28.09707682,41.40248554,1.439438034
38.78601765,26.92479845,27.98554036,41.90875253,1.437994152
